Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF 50V","C_0805_2012Metric",155.749600,-87.577100,180.000000,top
"C2","1uF 50V","C_0805_2012Metric",168.689600,-87.577100,180.000000,top
"C3","1uF 50V","C_0805_2012Metric",159.572100,-91.252100,180.000000,top
"C4","1uF 50V","C_0805_2012Metric",163.909600,-87.577100,0.000000,top
"C6","10nF","C_0805_2012Metric",159.939600,-87.577100,0.000000,top
"C7","10nF","C_0805_2012Metric",134.909600,-87.577100,0.000000,top
"C8","10nF","C_0805_2012Metric",148.009600,-87.577100,0.000000,top
"D1","1N4001","D_SMA",124.392100,-96.327100,0.000000,top
"D2","1N4001","D_SMA",124.334600,-100.547100,0.000000,top
"R1","470R","R_0805_2012Metric",151.697100,-87.547100,180.000000,top
"R2","4.7K","R_0805_2012Metric",150.412100,-91.222100,0.000000,top
"R3","1K","R_0805_2012Metric",164.162100,-91.222100,0.000000,top
"R4","100R","R_0805_2012Metric",168.732100,-91.222100,180.000000,top
"R5","22K","R_0805_2012Metric",139.599600,-87.547100,0.000000,top
"R6","22K","R_0805_2012Metric",143.829600,-87.547100,0.000000,top
"R7","470R","R_0805_2012Metric",140.222100,-91.222100,0.000000,top
"R8","4.7K","R_0805_2012Metric",155.109600,-95.967100,0.000000,top
"R9","1K","R_0805_2012Metric",164.239600,-95.967100,0.000000,top
"R10","100R","R_0805_2012Metric",168.804600,-95.967100,0.000000,top
"R11","27R(1W)","R_2512_6332Metric",136.042100,-98.117100,-90.000000,top
"R12","27R(1W)","R_2512_6332Metric",131.192100,-98.137100,90.000000,top
"R13","27R(1W)","R_2512_6332Metric",132.842100,-91.467100,0.000000,top
"R14","27R(1W)","R_2512_6332Metric",124.274600,-91.467100,0.000000,top
"R15","1K","R_0805_2012Metric",150.544600,-95.967100,0.000000,top
"R16","470R","R_0805_2012Metric",145.979600,-95.967100,0.000000,top
"R17","22K","R_0805_2012Metric",141.414600,-95.967100,0.000000,top
"R18","22K","R_0805_2012Metric",159.674600,-95.967100,180.000000,top
"R19","470R","R_0805_2012Metric",154.982100,-91.222100,0.000000,top
"R20","1K","R_0805_2012Metric",123.384600,-87.147100,0.000000,top
"ZD1","1N4733","D_SMA",167.859600,-100.347100,180.000000,top
"ZD2","1N4733","D_SMA",151.396300,-100.347100,0.000000,top
"ZD3","1N4733","D_SMA",159.650400,-100.347100,0.000000,top
"ZD4","1N4733","D_SMA",143.142100,-100.347100,0.000000,top
